Parameter name,HW Name ,Description,Arch comments,Implementation comments,per Device/port/VL,Spec Size,HW Size,Counting Unit,Generating Unit,Units,CX-7,CX-8,QM-2,QM-3,SP-5,GB100,GR100,MAD Class,Attribute ID,Attribute Name,Field name,PRM reg ID,PRM register,PRM Group / page,PRM field,BMC (command.field),Supported HW intefaces ,Frequency changes,Verified or not
PortMulticastRcvPackets,port_multicast_rcv_pkts_inc,"Total number of multicast packets, including multicast packets containing errors",The counter does not count ARN packets and flow-control packets. It does count also packets including errors (except packets shorter than 22B),,Port,64,64,LLU,LLU,Packets,,V,V,V,?,-,-,0x4- PM,0x001D,PortCountersExtended,PortMulticastRcvPackets,0x5008,PPCNT,infiniband_extended_port_counters_attrbiute,port_multicast_rcv_pkts,,,,
PortRcvPkts9to16Octets,cnt_r16,Rx packets in range 9-16 Bytes (8 and less will be filtered),-,-,Port,-,64,LLU,LLU,Packets,-,V,-,V,V,V,V,,,,,0x5008,PPCNT,infiniBand_packet_size_histograms_counters,cnt_r16,,,,
PortRcvPkts17to24Octets,cnt_r24,Rx packets in range 17-24 Bytes,-,-,Port,-,64,LLU,LLU,Packets,-,V,-,V,V,V,V,,,,,0x5008,PPCNT,infiniBand_packet_size_histograms_counters,cnt_r_16_24,,,,
PortRcvPkts25to32Octets,cnt_r32,"	Rx packets in range 25-32 Bytes",-,-,Port,-,64,LLU,LLU,Packets,-,V,-,V,V,V,V,,,,,0x5008,PPCNT,infiniBand_packet_size_histograms_counters,cnt_r_25_32,,,,
PortRcvPkts33to64Octets,cnt_r64,Rx packets in range 33-64 Bytes,-,-,Port,-,64,LLU,LLU,Packets,-,V,V,V,V,V,V,,,,,0x5008,PPCNT,infiniBand_packet_size_histograms_counters,cnt_r_33_64,,,,
PortRcvPkts65to127Octets,cnt_r127,Rx packets in range 65-127 Bytes,-,-,Port,-,64,LLU,LLU,Packets,-,V,V,V,V,V,V,,,,,0x5008,PPCNT,infiniBand_packet_size_histograms_counters,cnt_r_65_128,,,,
PortRcvPkts128to255Octets,cnt_r255,Rx packets in range 128-255 Bytes,-,-,Port,-,64,LLU,LLU,Packets,-,V,V,V,V,V,V,,,,,0x5008,PPCNT,infiniBand_packet_size_histograms_counters,cnt_r_129_256,,,,
PortRcvPkts256to511Octets,cnt_r511,Rx packets in range 256-511 Bytes,-,-,Port,-,64,LLU,LLU,Packets,-,V,V,V,V,V,V,,,,,0x5008,PPCNT,infiniBand_packet_size_histograms_counters,cnt_r_257_512,,,,
PortRcvPkts512to1023Octets,cnt_r1023,Rx packets in range 512-1023 Bytes,-,-,Port,-,64,LLU,LLU,Packets,-,V,V,V,V,-,-,,,,,-,-,-,-,,,,
PortRcvPkts1024to1518,cnt_r1518,Rx packets in range 1024-1518 Bytes,-,-,Port,-,64,LLU,LLU,Packets,-,V,V,V,V,-,-,,,,,-,-,-,-,,,,
PortRcvPkts1519to2047Octets,cnt_r2047,Rx packets in range 1519-2047 Bytes,-,-,Port,-,64,LLU,LLU,Packets,-,V,V,V,V,-,-,,,,,-,-,-,-,,,,
PortRcvPkts2048to4095Octets,cnt_r4095,Rx packets in range 2048-4095 Bytes,-,-,Port,-,64,LLU,LLU,Packets,-,V,V,V,V,-,-,,,,,-,-,-,-,,,,
PortRcvPkts4096to8191Octets,cnt_r8191,Rx packets in range 4096-8191 Bytes,-,-,Port,-,64,LLU,LLU,Packets,-,V,V,V,V,-,-,,,,,-,-,-,-,,,,
PortRcvPkts8192toMTU,cnt_r2mtu,Rx packets in range 512(GPU) / 8192(Switch/ CA)-MTU Bytes (MTU is configurable),-,-,Port,-,64,LLU,LLU,Packets,-,V,V,V,V,V,V,,,,,0x5008,PPCNT,infiniBand_packet_size_histograms_counters,cnt_r_513_mtu,,,,
PortXmitPkts9to16Octets,cnt_t16,Tx packets in range 9-16 Bytes,-,-,Port,-,64,LLU,LLU,Packets,-,V,-,V,V,V,V,,,,,0x5008,PPCNT,infiniBand_packet_size_histograms_counters,cnt_t16,,,,
PortXmitPkts17to24Octets,cnt_t24,Tx packets in range 17-24 Bytes,-,-,Port,-,64,LLU,LLU,Packets,-,V,-,V,V,V,V,,,,,0x5008,PPCNT,infiniBand_packet_size_histograms_counters,cnt_t_16_24,,,,
PortXmitPkts25to32Octets,cnt_t32,"	Tx packets in range 25-32 Bytes",-,-,Port,-,64,LLU,LLU,Packets,-,V,-,V,V,V,V,,,,,0x5008,PPCNT,infiniBand_packet_size_histograms_counters,cnt_t_25_32,,,,
PortXmitPkts33to64Octets,cnt_t64,Tx packets in range 33-64 Bytes,-,-,Port,-,64,LLU,LLU,Packets,-,V,V,V,V,V,V,,,,,0x5008,PPCNT,infiniBand_packet_size_histograms_counters,cnt_t_33_64,,,,
PortXmitPkts65to127Octets,cnt_t127,Tx packets in range 65-127 Bytes,-,-,Port,-,64,LLU,LLU,Packets,-,V,V,V,V,V,V,,,,,0x5008,PPCNT,infiniBand_packet_size_histograms_counters,cnt_t_65_128,,,,
PortXmitPkts128to255Octets,cnt_t255,Tx packets in range 128-255 Bytes,-,-,Port,-,64,LLU,LLU,Packets,-,V,V,V,V,V,V,,,,,0x5008,PPCNT,infiniBand_packet_size_histograms_counters,cnt_t_129_256,,,,
PortXmitPkts256to511Octets,cnt_t511,Tx packets in range 256-511 Bytes,-,-,Port,-,64,LLU,LLU,Packets,-,V,V,V,V,V,V,,,,,0x5008,PPCNT,infiniBand_packet_size_histograms_counters,cnt_t_257_512,,,,
PortXmitPkts512to1023Octets,cnt_t1023,Tx packets in range 512-1023 Bytes,-,-,Port,-,64,LLU,LLU,Packets,-,V,V,V,V,-,-,,,,,-,-,,-,,,,
PortXmitPkts1024to1518,cnt_t1518,Tx packets in range 1024-1518 Bytes,-,-,Port,-,64,LLU,LLU,Packets,-,V,V,V,V,-,-,,,,,-,-,,-,,,,
PortXmitPkts1519to2047Octets,cnt_t2047,Tx packets in range 1519-2047 Bytes,-,-,Port,-,64,LLU,LLU,Packets,-,V,V,V,V,-,-,,,,,-,-,,-,,,,
PortXmitPkts2048to4095Octets,cnt_t4095,Tx packets in range 2048-4095 Bytes,-,-,Port,-,64,LLU,LLU,Packets,-,V,V,V,V,-,-,,,,,-,-,,-,,,,
PortXmitPkts4096to8191Octets,cnt_t8191,Tx packets in range 4096-8191 Bytes,-,-,Port,-,64,LLU,LLU,Packets,-,V,V,V,V,-,-,,,,,-,-,,-,,,,
PortXmitPkts8192toMTU,cnt_t2mtu,Tx packets in range 512(GPU) / 8192(Switch/ CA)-MTU Bytes (MTU is configurable),-,-,Port,-,64,LLU,LLU,Packets,-,V,V,V,V,V,V,,,,,0x5008,PPCNT,infiniBand_packet_size_histograms_counters,cnt_t_513_mtu,,,,
PortXmitQueuePkts,,,"The numebr of packets queued in the queue, should be supported also by sample counters (to mesaure over a time period)",,,,16,,N/A,,,,V,V,?,,,,,,,,,,,,,,
PolicerXmitDiscard_X,,,"The number of packets that were discarded by policer X (per policer) and by tail drop

count in bytes. 
IBg1 not inclding the VCRC
IBg2 including FCS",,Policer,,64,SMA,DQL - discard reason: PolicerXmitDiscard,Bytes,,,-,V,?,,,,,,,,,,,,,,
PortXmitPortError,,,Receiving Port Error from TCB,,,,64,SMA,,Packets,,,-,V,?,,,,,,,,,,,,,,
RcvPauseVL,rpause_*,"The number of pause indications that were received for the VL. 
Count amount of received credits only for XON/XOFF mode (pause packets). ","The number of pause indications that were received for the VL
Count amount of received credits only for XON/XOFF mode (pause packets). 
Work also in ETH GW same as SPC.",,VL,,32,,LLU,,-,V,-,V,V,-,?,-,-,-,-,-,-,-,-,-,,,
XmitPauseVL,tpause_prio_*,"The number of pause requests that were requested by the VL
Count amount of transmitted credits only for XON/XOFF mode (pause packets). ","The number of pause requests that were requested by the VL
Count amount of transmitted credits only for XON/XOFF mode (pause packets). 
Work also in ETH GW same as SPC.",,VL,,32,,LLU (TX),,-,V,-,V,V,-,?,-,-,-,-,-,-,-,-,-,,,
RcvPauseDurationVL,cnt_rpause_dura_*,"The total time in microseconds that transmission of packets to the far-end port have been paused (off state)
Valid only for XON/XOFF mode (pause packets). ","The total time in microseconds that transmission of packets to the far-end port have been paused (off state)
Valid only for XON/XOFF mode (pause packets). 
Work also in ETH GW same as SPC.",,VL,,64,,LLU,Ticks,-,V,-,V,V,-,?,-,-,-,-,-,-,-,-,,,,
PortARNRcvPkt,good_arn_pkt_inc,The number of Good ARN frames received on the port (does not include PortARNRcvError),The number of Good ARN frames received on the port (does not include PortARNRcvError),,Port,,64,,LLU,Packets,V,V,V,V,?,-,?,,,,,,,,,,,,
PortFRNRcvPkt,good_frn_pkt_inc,The number of Good FRN frames received on the port (does not include PortARNRcvError),The number of Good FRN frames received on the port (does not include PortARNRcvError),,Port,,64,,LLU,Packets,V,V,V,V,?,-,?,,,,,,,,,,,,
PortARNRcvError,err_arn_pkt_inc,ARN/FRN was received with wrong ARN-version or wrong ARN-opcode,ARN/FRN was received with wrong ARN-version or wrong ARN-opcode,,Port,,64,,LLU,Packets,V,V,V,V,?,-,?,,,,,,,,,,,,
PortARNXmitPkt,port_xmit_arn_inc,The number of ARN frames sent from the port,The number of ARN frames sent from the port,,Port,,64,LLU,LLU (TX),Packets,V,V,V,V,?,-,?,,,,,,,,,,,,
PortFRNXmitPkt,port_xmit_frn_inc,The number of FRN frames sent from the port,The number of FRN frames sent from the port,,Port,,64,LLU,LLU (TX),Packets,V,V,V,V,?,-,?,,,,,,,,,,,,
PortARNXmitError,Uriel,,ARN discarded in FDB due to ARN-DLID-top or opcode (this counter name is not good - the functionality matches PortARNRcvError counter),"Before Blackbird: generated in FDB and counted in LLU.
Blackbird: generated+counted in FDB.",Port,,64,FDB,FDB,Packets,-,-,V,V,-,-,-,,,,,,,,,,,,
PortRNDlidMappingError,,Number of ARN/FRN that carries DLID over top,,,Port,,64,FDB,FDB,Packets,-,-,V,V,,-,-,,,,,,,,,,,,
PortRcvARNActionConsume,,Number of ARN packets classified to consume,,,Port,,64,FDB,FDB,Packets,-,-,V,V,,-,-,0xA,0x0082,PortRNCounters,,,,,,,,,
PortRcvARNActionPassOn,,Number of ARN packets classified to pass-on,,,Port,,64,FDB,FDB,Packets,-,-,V,V,,-,-,,,,,,,,,,,,
PortRcvARNActionDiscard,,Number of ARN packets classified to discard (Note – this is result of mapping table == discard),Note – this is result of mapping table == discard,,Port,,64,FDB,FDB,Packets,-,-,V,V,,-,-,,,,,,,,,,,,
PortRcvFRNActionConsume,,Number of FRN packets classified to consume,,,Port,,64,FDB,FDB,Packets,-,-,V,V,,-,-,,,,,,,,,,,,
PortRcvFRNActionPassOn,,Number of FRN packets classified to pass-on,,,Port,,64,FDB,FDB,Packets,-,-,V,V,,-,-,,,,,,,,,,,,
PortRcvFRNActionDiscard,,Number of FRN packets classified to discard (Note – this is result of mapping table == discard),Note – this is result of mapping table == discard,,Port,,64,FDB,FDB,Packets,-,-,V,V,,-,-,,,,,,,,,,,,
PortPktClassificationMatchLegacy,,Number of packets which their routing classification was Static.  ,"Doesn’t count FTO discards, counts FDB discards.",,Port,,64,FDB,FDB,Packets,-,-,V,V,,-,-,,,,,,,,,,,,
PortPktClassificationMatchRestricted,,Number of packets which their routing classification was HBF.  ,"Doesn’t count FTO discards, counts FDB discards.",,Port,,64,FDB,FDB,Packets,-,-,V,V,,-,-,,,,,,,,,,,,
PortPktClassificationMatchFree,,Number of packets which their routing classification was AR.  ,"Doesn’t count FTO discards, counts FDB discards.",,Port,,64,FDB,FDB,Packets,-,-,V,V,,-,-,,,,,,,,,,,,
PortPktForwardingDecisionIsAR,rx_pkt_forwarding_ar,Number of packets which routing decision was Static.  ,"Should include cache hits and TP packets. Cache hit – will be counted if FDB is doing lookup otherwise cache_no_lookup_packet. Counts FDB discards.
Should be equal to the sum of PortARDecisionTookSG0/1/2, except when a cache decides to do AR for a tq not in any SG (cache not flushed after update).",,Port,,64,FDB,FDB,Packets,-,-,V,V,,-,-,0xA,0x007A,PortRoutingDecisionCounters,rx_pkt_forwarding_ar,-,-,-,-,,,,
PortPktForwardingDecisionIsHBF,rx_pkt_forwarding_hbf,Number of packets which routing decision was HBF.  ,"Should include cache hits and TP packets. Cache hit – will be counted if FDB is doing lookup otherwise cache_no_lookup_packet. Counts FDB discards.
Should be equal to the sum of PortHBFDecisionTookSG0/1/2, except when a cache decides to do HBF for a tq not in any SG (cache not flushed after update).",,Port,,64,FDB,FDB,Packets,-,-,V,V,,-,-,0xA,0x007A,PortRoutingDecisionCounters,rx_pkt_forwarding_hbf,-,-,-,-,,,,
PortPktForwardingDecisionIsStatic,rx_pkt_forwarding_static,Number of packets which routing decision was AR.  ,Should include cache hits and TP packets. Ignores direct_tq /HBA flows. If cache hit – will be counted if FDB is doing lookup otherwise cache_no_lookup_packet. Counts FDB discards.,,Port,,64,FDB,FDB,Packets,-,-,V,V,,-,-,0xA,0x007A,PortRoutingDecisionCounters,rx_pkt_forwarding_static,-,-,-,-,,,,
PortPktForwardingIsDirectOrHbaLoop,,Number of  direct_tq and HBA generated packets (including acks),Counts FDB discards.,,Port,,64,FDB,FDB,Packets,-,-,V,V,,-,-,-,-,-,-,-,-,-,-,,,,
PortPktForwardingBasedOnFRLocal,rx_pkt_hbf_fallback_local,Number of packets that routing decision was influenced by local FR,"Limitation – can be counted only for static flows. If cache hit – will be counted if FDB is doing lookup otherwise cache_no_lookup_packet. Counts FDB discards.
Can be counted together with PortPktForwardingBasedOnFRRemote.",,Port,,64,FDB,FDB,Packets,-,-,V,V,,-,-,0xA,0x007A,PortRoutingDecisionCounters,rx_pkt_hbf_fallback_local,-,-,-,-,,,,
PortPktForwardingBasedOnFRRemote,rx_pkt_hbf_fallback_remote,Number of packets that routing decision was influenced by remote FR,"Limitation – can be counted only for static flows. If cache hit – will be counted if FDB is doing lookup otherwise cache_no_lookup_packet. Counts FDB discards.
Can be counted together with PortPktForwardingBasedOnFRLocal.",,Port,,64,FDB,FDB,Packets,-,-,V,V,,-,-,0xA,0x007A,PortRoutingDecisionCounters,rx_pkt_hbf_fallback_remote,-,-,-,-,,,,
PortARDecisionTookSG0,rx_pkt_forwarding_ar_sg0,Number of AR routing decisions that selected egress port from sub group 0.,Don’t include FR local / remote. If selected port is in more than one SG – HW will count the minimum SG it includes in. If cache hit – will be counted if FDB is doing lookup otherwise cache_no_lookup_packet.,,Port,,64,FDB,FDB,Packets,-,-,V,V,,-,-,0xA,0x007A,PortRoutingDecisionCounters,rx_pkt_forwarding_ar_sg0,-,-,-,-,,,,
PortARDecisionTookSG1,rx_pkt_forwarding_ar_sg1,Number of AR routing decisions that selected egress port from sub group 1.,Don’t include FR local / remote. If selected port is in more than one SG – HW will count the minimum SG it includes in. If cache hit– will be counted if FDB is doing lookup otherwise cache_no_lookup_packet.,,Port,,64,FDB,FDB,Packets,-,-,V,V,,-,-,0xA,0x007A,PortRoutingDecisionCounters,rx_pkt_forwarding_ar_sg1,-,-,-,-,,,,
PortARDecisionTookSG2,rx_pkt_forwarding_ar_sg2,Number of AR routing decisions that selected egress port from sub group 2.,Don’t include FR local / remote. If selected port is in more than one SG – HW will count the minimum SG it includes in. If cache hit – will be counted if FDB is doing lookup otherwise cache_no_lookup_packet.,,Port,,64,FDB,FDB,Packets,-,-,V,V,,-,-,0xA,0x007A,PortRoutingDecisionCounters,rx_pkt_forwarding_ar_sg2,-,-,-,-,,,,
PortHBFDecisionTookSG0,rx_pkt_forwarding_hbf_sg0,Number of HBF routing decisions that selected egress port from sub group 0.,If selected port is in more than one SG – HW will count the minimum SG it includes in. If cache hit – will be counted if FDB is doing lookup otherwise cache_no_lookup_packet.,,Port,,64,FDB,FDB,Packets,-,-,V,V,,-,-,0xA,0x007A,PortRoutingDecisionCounters,rx_pkt_forwarding_hbf_sg0,-,-,-,-,,,,
PortHBFDecisionTookSG1,rx_pkt_forwarding_hbf_sg1,Number of HBF routing decisions that selected egress port from sub group 1.,Don’t include FR local / remote. If selected port is in more than one SG – HW will count the minimum SG it includes in. If cache hit – will be counted if FDB is doing lookup otherwise cache_no_lookup_packet.,,Port,,64,FDB,FDB,Packets,-,-,V,V,,-,-,0xA,0x007A,PortRoutingDecisionCounters,rx_pkt_forwarding_hbf_sg1,-,-,-,-,,,,
PortHBFDecisionTookSG2,rx_pkt_forwarding_hbf_sg2,Number of HBF routing decisions that selected egress port from sub group 2.,Don’t include FR local / remote. If selected port is in more than one SG – HW will count the minimum SG it includes in. If cache hit – will be counted if FDB is doing lookup otherwise cache_no_lookup_packet.,,Port,,64,FDB,FDB,Packets,-,-,V,V,,-,-,0xA,0x007A,PortRoutingDecisionCounters,rx_pkt_forwarding_hbf_sg2,-,-,-,-,,,,
PortCacheNoLookupPkt,,Number of  packet that got cache hit and there is no lookup in FDB ,This is an implementation limitation counter. Counts FDB discards.,Counts packet that got cache hit and there is no lookup in FDB – look for “If cache – will be counted if FDB is doing lookup otherwise cache_no_lookup_packet”  in the comment section to see which counters are covered by this counter ,Port,,64,FDB,FDB,Packets,-,-,V,V,,-,-,,,,,,,,,,,,
PortFDSDropARNConsumeDiscard,,Number of ARN packets with consume action that were dropped by FDS fifo ,,Counts ARN packets with consume action that were dropped by FDS fifo ,Port,,64,FDB,FDB,Packets,-,-,V,V,,-,-,,,,,,,,,,,,
PortFDSDropARNPassonDiscard,,Number of ARN packets with passon action that were dropped by FDS fifo,,Counts ARN packets with passon action that were dropped by FDS fifo,Port,,64,FDB,FDB ,Packets,-,-,V,V,,-,-,,,,,,,,,,,,
PortFDSDropFRNConsumeDiscard,,Number of FRN packets with consume action that were dropped by FDS fifo ,,,Port,,64,FDB,FDB,Packets,-,-,V,V,,-,-,,,,,,,,,,,,
PortFDSDropFRNPassonDiscard,,Number of FRN packets with passon action that were dropped by FDS fifo,,,Port,,64,FDB,FDB,Packets,-,-,V,V,,-,-,,,,,,,,,,,,
PortLossyRNPktDiscard,,"Counts 8 items:
1-4: Fds Fifo Drop (a/frn passon/consume)
5: Fds Top Checks
6: Fto Top Checks
7: Fdb Fifo Drop (Overwritten before reaching FDS)
8: Fdb No Frn Consume credits Drop (Try to send frn consume to fds but ran out of credits after the decision point to do trap to sma) 
Items in Red aren't counted because of bug #2479954.","Items 1-4 are also counted in:
PortFDSDropARNConsumeDiscard
PortFDSDropARNPassonDiscard
PortFDSDropFRNConsumeDiscard
PortFDSDropFRNPassonDiscard",,Port,,64,FDB,"Counts 8 items:
1-4: Fds Fifo Drop (a/frn passon/consume)
5: Fds Top Checks
6: Fto Top Checks
7: Fdb Fifo Drop (Overwritten before reaching FDS)
8: Fdb No Frn Consume credits Drop (Try to send frn consume to fds but ran out of credits after the decision point to do trap to sma) 
Items in Red aren't counted because of bug #2479954.",Packets,-,-,V,V,,-,-,,,,,,,,,,,,
Histogram_bin,perf_hist*_bin*,"Histogram mechanism can be connected to every counter in Port counters. See:
https://confluence.nvidia.com/display/NCD/Histograms+sizes+and+granularity",,,Port,,40,LLU,LLU,Histogram,V,V,V,V,,-,-,,,,,,,,,,,,
XmitDropStall,xmit_drop_stall,Packets dropped due to stall state (SLL?),Packets dropped due to stall state,,Port,,64,LLU,DQS - discard reason: XmitDropStall,Packets,-,-,V,V,,-,,,,,,,,,,,,,
XFI errored block,,,,,Port,,32,,PLU,Blocks,,,V,V,,,,,,,,,,,,,,,
Disparity errors,,,,,Port,,32,,PLU,Blocks,,,V,V,,,,,,,,,,,,,,,
XFI ber count,,,,,Port,,32,,PLU,Blocks,,,V,V,,,,,,,,,,,,,,,
LLRXmitCells,,,llrtx_cell,,Port,,32,,PLU,Cells,,,-,V,,,,,,,,,,,,,,,
LLRXmitFrames,,,llrtx_frame,,Port,,32,,PLU,Packets,,,-,V,,,,,,,,,,,,,,,
LLRXmitAcks,,,llrtx_ack,,Port,,32,,PLU,Cells,,,-,V,,,,,,,,,,,,,,,
LLRXmitRetryCells,,,llrtx_rtrn_cell,,Port,,32,,PLU,Cells,,,-,V,,,,,,,,,,,,,,,
LLRXmitRetryFrames,,,llrtx_rtrn_frame,,Port,,32,,PLU,Packets,,,-,V,,,,,,,,,,,,,,,
LLRXmitRetryEvents,,,llrtx_outstanding_cells_limit_th,,Port,,32,,PLU,Events,,,-,V,,,,,,,,,,,,,,,
LLRXmitThresholdReached,,,llrtx_rtrn_flows,,Port,,32,,PLU,Events,,,-,V,,,,,,,,,,,,,,,
LLRRcvFrames,,,llrrx_debug_cnt0,,Port,,32,,PLU,Packets,,,-,V,,,,,,,,,,,,,,,
LLRReceiveCells,,,llrrx_debug_cnt1,,Port,,32,,PLU,Cells,,,-,V,,,,,,,,,,,,,,,
LLRRcvAcks,,,llrrx_debug_cnt2,,Port,,32,,PLU,Cells,,,-,V,,,,,,,,,,,,,,,
LLRRcvCtrlFrames,,,llrrx_debug_cnt3,,Port,,32,,PLU,Packets,,,-,V,,,,,,,,,,,,,,,
LLRRcvCRCErrors,,,llrrx_debug_cnt4,,Port,,32,,PLU,Cells,,,-,V,,,,,,,,,,,,,,,
LLRRcvCSNErr,,,llrrx_debug_cnt5,,Port,,32,,PLU,Cells,,,-,V,,,,,,,,,,,,,,,
LLRRcvCellErrors,,,llrrx_debug_cnt6,,Port,,32,,PLU,Cells,,,-,V,,,,,,,,,,,,,,,
LLRRcvCellNACK,,,llrrx_debug_cnt7,,Port,,32,,PLU,Cells,,,-,V,,,,,,,,,,,,,,,
FECCorrectableBlockCounter,,,When per port counted on lane0,,Port,,32,,PLU,FEC Block,,,V,V,,,,,,,,,,,,,,,
FECUncorrectableBlockCounter,,,When per port counted on lane0,,Port,,32,,PLU,FEC Block,,,V,V,,,,,,,,,,,,,,,
FECLaneSymbolErrorCounter,,,RS-FEC,,Port,,32,,PLU,Symbol,,,V,V,,,,,,,,,,,,,,,
FECPortSymbolErrorCounter,,,RS-FEC,,Port,,32,,PLU,Symbol,,,V,V,,,,,,,,,,,,,,,
PLRXmitRetryBlocks,,,,,Port,,32,,PLU,FEC Block,,,V,V,,,,,,,,,,,,,,,
PLRXmitRetryEvents,,,,,Port,,32,,PLU,Events,,,V,V,,,,,,,,,,,,,,,
PLRXmitThresholdReached,,,,,Port,,32,,PLU,Events,,,V,V,,,,,,,,,,,,,,,
PLRXmitNack,,,,,Port,,32,,PLU,FEC Block,,,V,V,,,,,,,,,,,,,,,
PLRRcvNack,,,,,Port,,32,,PLU,FEC Block,,,V,V,,,,,,,,,,,,,,,
PLRRcvCSNErr,,,,,Port,,32,,PLU,FEC Block,,,V,V,,,,,,,,,,,,,,,
Sample counter 1,port_sample_counter_inc0,Configured counter that allows sampling specific counter on specific time window.,,,Port,,64,,LLU,,V,V,V,V,,V,?,-,-,-,-,-,-,-,-,-,,,
Sample counter 2,port_sample_counter_inc1,Configured counter that allows sampling specific counter on specific time window.,,,Port,,64,,LLU,,V,V,V,V,,V,?,-,-,-,-,-,-,-,-,-,,,
Sample counter 3,port_sample_counter_inc2,Configured counter that allows sampling specific counter on specific time window.,,,Port,,64,,LLU,,V,V,V,V,,V,?,-,-,-,-,-,-,-,-,-,,,
GeneralCounter1,,,bad tx base tq mapping,,Port,,64,FDB,not implemented in regular port  - only in SMA,,-,-,V,V,,-,-,,,,,,,,,,,,
GeneralCounter2,,,MC becomes empty,,Port,,64,FDB,,,-,-,V,V,,-,-,,,,,,,,,,,,
GeneralRCVDiscard,rq_general_error ,Counts any packet that was dropped in the recevie pipe and is not counted by any other coutner (for example proprietary checks),"Counts any packet that was dropped in the recevie pipe and is not counted by any other coutner (for example proprietary checks)
Pelican, Feb. 2014: this counters never incs in the DCM ","LLU generated reasons are counted in LLU.
Before Blackbird:FDB generated reasons were counted in LLU.
Blackbird: FDB generated reasons counted in FDB.",Port,,64,LLU,"FDB - discard reason: GeneralRCVDiscard
FTO - SLID anti spoofing",Packets,V,V,V,V,?,V,?,,,,,,,,,,,,
GeneralTransmitDiscard,general_transmit_discard,"Counts any packet that was dropped in the transmit pipe and is not counted by any other counter (for example proprietary checks)
DQS dicard reason - FW_Discard - for OpVL. This counter may raise at SL2VL chaning.","Counts any packet that was dropped in the transmit pipe and is not counted by any other counter (for example proprietary checks)
FDB discard reason - GeneralTransmitDiscard - not used (Feb. 2014)
DQS dicard reason - FW_Discard - for OpVL. This counter may raise at SL2VL chaning.",,Port,,64,LLU,"FDB - discard reason: GeneralTransmitDiscard (Not used, Feb. 2014)
DQS - discard reason: FWDiscard",Packets,-,-,-,V,?,-,-,,,,,,,,,,,,
PortRcvGRHErrors,dlid_dgid_mismatch_inc,Validates that GRH exists if LNH states so. ,DLID-DGID-Mismatch. Note that GRH.Iper and GRH.NxtHdr are counted in constraint-errors,,Port,,64,LLU,LLU (RX),Packets,V,V,V,V,,-,,,,,,,,,,,,,
MirrorPktDiscard,mirror_pkt_discard,Number of mirror packets  that arived but mirror_en was not enabled ,,,Port,,64,LLU,LLU (TX): mirror agent disabled,Packets,-,-,V,V,,-,,,,,,,,,,,,,
EMirrorPktDiscard,emirror_pkt_discard,"packet entered the ""ELOOGER"" SRAM but the packet arrived with discard (start or end).",The number of mirored packets that were decided to be discarded due to lack of resources,,Port,,64,LLU,LLU (TX): best-effort emirror with no credits in the PTB,Packets,-,-,V,V,,-,,,,,,,,,,,,,
TrapPktDiscard,trap_pkt_discard,"packet entered the ""ELOOGER"" SRAM but the packet arrived with discard (start or end).",,,Port,,64,LLU,"LLU (TX): a trapped packet had no credits in the PTB, so it was not trapped. This is orthogonal to the port transmitting.
*this is egress trap",Packets,-,-,V,V,,-,,,,,,,,,,,,,
UCTaildropDiscards,,,,,Port,,64,GLC,"per {TQ,FQ}, when UC packet is dropped on this queue",Packets,,,-,V,,,,,,,,,,,,,,,
RouterIFRelayErrors,Uriel,,All MC packets are considered as going to the router,"Before Blackbird: generated in FDB and counted in LLU.
Blackbird: generated+counted in FDB.",Port,,64,FDB,FDB - discard reason: RouterIngressDiscard,Packets,-,-,V,V,,-,-,,,,,,,,,,,,
RouterIFXmitDiscard,router_ifxmit_discard,,,,Port,,64,LLU,LLU (TX): HopLmt,Packets,-,-,V,V,,-,-,,,,,,,,,,,,
TaildropDiscards - FDB Counters,Uriel,,,,Port,,64,FDB,"FDB - each packet that was discarded (removed from the TQ list) due to taildrop - UC/MC
Counts per TQ
won't count a case where drop is decided by mx,qosi quota",Packets,,,V,V,,,,,,,,,,,,,,,
MCQosiDiscards,Uriel,,,,,,64,FDB,"FDB - per qosi, count dropped MC packets.
Per FDB",Packets,,,V,V,,,,,,,,,,,,,,,
DropBEMirror,Uriel,,,,,,64,FDB,"FDB - per mirror agent, count in parallel for each mirror agent , drop events due to best-effort in the agent for good allowed mirroring",Packets,,,V,V,,,,,,,,,,,,,,,
MirroringTaildropDiscards,Uriel,,,,Port,,64,FDB,"FDB - per mirror agent, count when mirror copy is dropped on this agent due to tail-drop. This counter will count only if copy is allowed for mirroring and passed BE decision (no double count with BE counter - ""DropBEMirror"")",Packets,,,V,V,,,,,,,,,,,,,,,
PortSFlowSampledPkts,Uriel,,,,Port,,64,FDB,FDB - each packet that were sampled by the SFlow receive agent,Packets,,,V,V,,,,,,,,,,,,,,,
packet_recieved,Uriel,,Count when packet recieverd0-4 checks are active,,Port,,64,FDB,"FTO Generates the inc, FDB counts",Packets,,,,V,,,,,,,,,,,,,,,
ContentBasedMirrors,Uriel,,"Counts number of packet that wanted to do Content Based Mirorring, before sampling.",,Port,,64,FDB,"FTO Generates the inc, FDB counts",Packets,,,V,V,,,,,,,,,,,,,,,
ArrayBasedMirrors,Uriel,,"Counts number of packet that wanted to do Array Based Mirorring, before sampling.",,Port,,64,FDB,FDB generates and counts,Packets,,,V,V,,,,,,,,,,,,,,,
